{118, 96, 124, 38, 174, 10},
{116, 99, 114, 37, 171, 10},
{115, 102, 104, 37, 168, 10},
{113, 105, 95, 36, 166, 10},
{111, 107, 86, 36, 164, 10},
{110, 109, 79, 36, 162, 10},
{109, 111, 72, 35, 160, 10},
{108, 113, 68, 35, 159, 10},
{107, 114, 63, 35, 158, 10},
{107, 115, 60, 35, 157, 10},
{106, 116, 57, 34, 156, 10},
{106, 116, 56, 34, 156, 10},
{105, 117, 54, 34, 155, 10},
{105, 117, 53, 34, 155, 10},
{105, 117, 52, 34, 155, 10},
{105, 117, 52, 34, 155, 73},
{90, 90, 90, 90, 90, 10},
{90, 89, 88, 86, 92, 10},
{91, 89, 86, 83, 95, 10},
{92, 88, 84, 80, 98, 10},
{93, 88, 83, 77, 101, 10},
{94, 88, 81, 74, 104, 10},
{94, 87, 79, 71, 106, 10},
{95, 87, 78, 68, 109, 10},
{96, 87, 76, 65, 112, 10},
{97, 86, 75, 62, 114, 10},
{97, 86, 73, 59, 117, 10},
{98, 86, 71, 56, 120, 10},
{99, 85, 70, 53, 122, 10},
{100, 85, 68, 50, 125, 10},
{100, 85, 67, 47, 127, 10},
{101, 84, 65, 44, 129, 10},
{102, 84, 64, 42, 132, 10},
{102, 84, 63, 39, 134, 10},
{103, 83, 61, 36, 136, 10},
{105, 83, 58, 30, 142, 10},
{106, 82, 54, 23, 148, 10},
{108, 81, 52, 19, 152, 10},
{109, 81, 49, 14, 156, 10},
{110, 80, 48, 11, 159, 10},
{110, 80, 46, 8, 162, 10},
{111, 80, 45, 6, 163, 10},
{111, 79, 44, 4, 165, 10},
{112, 79, 43, 2, 167, 10},
{112, 79, 42, 1, 168, 10},
{112, 79, 42, 1, 168, 73},
{112, 79, 42, 1, 168, 10},
{112, 79, 44, 2, 168, 10},
{112, 80, 46, 4, 168, 10},
{111, 80, 48, 5, 168, 10},
{111, 80, 50, 7, 168, 10},
{111, 80, 50, 7, 168, 10},
{111, 80, 51, 8, 168, 10},
{110, 81, 53, 9, 167, 10},
{110, 81, 55, 11, 167, 10},
{109, 82, 60, 15, 167, 10},
{108, 82, 65, 19, 167, 10},
{107, 83, 71, 24, 166, 10},
{106, 84, 78, 29, 166, 10},
{105, 84, 82, 32, 166, 10},
{104, 85, 86, 36, 166, 10},
{103, 86, 91, 39, 165, 10},
{102, 86, 95, 43, 165, 10},
{101, 87, 101, 47, 165, 10},
{100, 88, 106, 52, 164, 10},
{99, 88, 111, 55, 164, 10},
{99, 89, 116, 59, 164, 10},
{98, 89, 119, 61, 164, 10},
{98, 90, 122, 64, 164, 10},
{97, 90, 125, 66, 163, 10},
{96, 91, 128, 68, 163, 10},
{95, 91, 133, 73, 163, 10},
{94, 92, 138, 77, 163, 10},
{94, 93, 143, 81, 162, 10},
{93, 93, 148, 85, 162, 10},
{92, 94, 150, 86, 162, 10},
{92, 94, 152, 87, 162, 10},
{92, 94, 152, 88, 162, 10},
{92, 94, 152, 88, 162, 10},
{92, 94, 152, 88, 162, 73},
